,E,A,G,O,EA,EG,EO,AG,AO,GO,EAG,EAO,EGO,AGO,EAGO
V,6.844444444444445,10.711111111111112,3.7666666666666666,11.733333333333333,0.0,11.81111111111111,3.5444444444444443,16.7,5.844444444444444,3.5444444444444443,10.733333333333333,0.0,1.222222222222222,5.844444444444445,0.0
NV,0.0,5.7444444444444445,8.288888888888888,17.7,7.2111111111111095,2.5444444444444443,5.966666666666667,7.088888888888889,8.28888888888889,17.72222222222222,5.98888888888889,0.1,6.944444444444445,10.611111111111112,0.0
SV,1.3222222222222222,2.422222222222222,4.522222222222223,14.399999999999999,0.0,0.0,3.4222222222222225,11.833333333333336,5.744444444444445,10.388888888888888,0.0,0.0,5.988888888888888,10.733333333333333,0.0
BV,2.322222222222222,8.066666666666666,4.7444444444444445,11.711111111111112,0.0,13.666666666666666,4.766666666666667,8.511111111111111,1.0999999999999999,10.855555555555556,8.066666666666666,3.5444444444444443,1.0999999999999999,8.18888888888889,2.322222222222222
PV,0.0,0.0,2.422222222222222,0.0,0.1,0.1,0.0,0.0,1.222222222222222,0.0,3.5444444444444443,0.0,3.5444444444444443,0.0,1.3222222222222222
NBV,0.0,1.0999999999999999,5.7444444444444445,11.466666666666667,5.844444444444444,0.0,1.2,5.988888888888888,14.11111111111111,13.033333333333335,3.5444444444444443,2.422222222222222,0.0,3.6666666666666665,4.622222222222223
NPV,0.0,3.4222222222222225,1.222222222222222,0.0,3.6666666666666665,1.222222222222222,0.0,0.1,2.2,1.222222222222222,0.0,0.0,1.0999999999999999,2.5444444444444443,1.222222222222222
SBV,1.222222222222222,9.366666666666667,4.622222222222223,7.066666666666667,3.5444444444444443,3.3000000000000003,9.266666666666664,5.966666666666667,8.28888888888889,8.31111111111111,0.0,5.622222222222223,9.511111111111111,10.488888888888889,6.966666666666665
SPV,0.0,0.0,2.322222222222222,5.622222222222223,3.5444444444444443,1.0999999999999999,5.844444444444444,3.7666666666666666,0.0,3.6222222222222227,0.0,3.644444444444445,0.0,0.0,0.0
BPV,0.0,1.222222222222222,0.0,0.0,0.0,0.0,1.222222222222222,2.322222222222222,1.222222222222222,0.1,0.0,2.2,2.322222222222222,0.0,0.0
NBPV,1.222222222222222,4.644444444444444,0.0,2.322222222222222,1.222222222222222,0.0,0.0,0.0,0.0,2.322222222222222,0.0,0.0,4.766666666666667,3.4222222222222225,7.066666666666667
SBPV,0.1,0.0,5.866666666666666,4.5,0.0,1.0999999999999999,1.0999999999999999,5.988888888888888,0.1,1.0999999999999999,0.0,2.444444444444444,1.0999999999999999,0.0,0.0
