,E,A,G,O,EA,EG,EO,AG,AO,GO,EAG,EAO,EGO,AGO,EAGO
V,10.322222222222225,37.51111111111112,33.91111111111111,32.15555555555556,4.7444444444444445,12.444444444444445,19.044444444444448,35.08888888888889,12.666666666666664,11.244444444444445,29.755555555555553,6.822222222222223,24.644444444444442,10.466666666666665,14.011111111111113
NV,7.9222222222222225,25.988888888888894,16.166666666666668,20.666666666666668,16.944444444444443,23.56666666666667,21.544444444444448,28.411111111111108,37.111111111111114,26.433333333333337,30.366666666666664,32.611111111111114,27.433333333333344,38.55555555555556,38.55555555555556
SV,1.0999999999999999,29.06666666666667,33.15555555555556,28.555555555555557,10.222222222222225,19.611111111111114,7.822222222222222,39.777777777777786,27.844444444444445,39.77777777777777,3.6222222222222227,21.566666666666666,7.144444444444445,40.43333333333334,9.366666666666665
BV,3.5222222222222226,20.022222222222226,39.2888888888889,31.63333333333334,12.444444444444445,3.3000000000000007,6.599999999999999,38.84444444444444,5.844444444444444,24.033333333333335,11.466666666666665,11.344444444444445,5.722222222222221,19.46666666666667,12.344444444444447
PV,11.366666666666667,12.322222222222223,6.822222222222223,5.844444444444444,6.822222222222223,6.9222222222222225,12.444444444444445,8.922222222222222,8.044444444444446,1.2,5.500000000000001,1.222222222222222,5.844444444444444,11.322222222222223,13.544444444444448
NBV,1.2,23.666666666666668,39.53333333333333,31.122222222222216,15.888888888888891,12.344444444444447,14.544444444444446,25.233333333333334,35.455555555555556,33.177777777777784,12.688888888888892,17.41111111111111,10.0,19.388888888888893,18.06666666666667
NPV,5.500000000000001,5.500000000000001,5.622222222222222,5.622222222222222,7.822222222222224,4.522222222222223,7.9444444444444455,7.9222222222222225,3.4000000000000004,3.4222222222222225,4.4,6.822222222222223,3.4222222222222225,10.144444444444446,8.044444444444444
SBV,9.166666666666666,27.31111111111111,33.13333333333334,31.166666666666664,10.466666666666669,23.644444444444446,10.366666666666665,40.955555555555556,21.444444444444443,45.37777777777778,22.96666666666667,17.96666666666667,24.76666666666667,52.17777777777777,22.866666666666667
SPV,4.522222222222223,17.111111111111114,10.244444444444445,5.500000000000001,2.3,5.622222222222222,12.222222222222223,1.2,9.244444444444445,8.922222222222222,0.0,3.4000000000000004,15.98888888888889,4.500000000000001,2.2
BPV,9.144444444444447,8.9,12.644444444444444,14.78888888888889,5.622222222222222,13.666666666666666,9.144444444444446,10.022222222222224,4.522222222222223,1.222222222222222,8.022222222222224,9.144444444444447,9.266666666666666,4.622222222222223,10.244444444444442
NBPV,15.98888888888889,8.022222222222222,4.4,9.166666666666666,12.666666666666664,10.022222222222224,5.500000000000001,5.744444444444445,5.622222222222222,9.122222222222224,11.322222222222225,3.4222222222222225,9.022222222222224,4.522222222222223,3.5222222222222226
SBPV,10.26666666666667,2.2,3.4000000000000004,10.122222222222224,9.122222222222224,6.722222222222222,7.9222222222222225,3.4222222222222225,10.344444444444449,4.522222222222223,12.566666666666668,2.2,9.166666666666668,5.722222222222221,3.3000000000000003
