,E,A,G,O,EA,EG,EO,AG,AO,GO,EAG,EAO,EGO,AGO,EAGO
V,0.0,4.321428571428571,1.5714285714285716,4.321428571428571,7.785714285714285,8.839285714285714,4.642857142857143,10.410714285714285,0.0,12.374999999999998,0.0,0.0,3.1428571428571432,13.357142857142856,1.3750000000000002
NV,0.0,4.517857142857142,4.321428571428571,7.2678571428571415,0.0,4.7142857142857135,1.5714285714285716,2.946428571428571,12.17857142857143,0.0,5.892857142857142,4.571428571428571,4.571428571428571,3.1428571428571432,3.0714285714285716
SV,4.839285714285714,1.5714285714285716,0.0,9.035714285714286,4.839285714285714,1.5714285714285716,1.3750000000000002,15.642857142857142,4.642857142857142,3.1428571428571432,5.892857142857142,1.5714285714285716,1.3750000000000002,4.321428571428571,5.892857142857142
BV,2.946428571428571,2.946428571428571,11.910714285714285,3.0714285714285716,0.0,3.1428571428571432,4.25,6.089285714285715,0.0,7.660714285714285,0.0,6.410714285714285,0.0,0.0,0.0
PV,0.0,0.0,0.125,4.7142857142857135,0.0,0.0,4.124999999999999,2.946428571428571,1.6964285714285714,0.0,0.0,0.0,2.946428571428571,1.5714285714285716,1.3750000000000002
NBV,0.0,0.0,2.7500000000000004,3.1428571428571432,0.125,0.0,1.5714285714285716,10.410714285714285,2.946428571428571,10.410714285714286,3.1428571428571432,7.464285714285715,1.3750000000000002,12.69642857142857,0.0
NPV,0.0,0.0,0.0,0.0,4.321428571428571,1.5714285714285716,0.0,0.0,3.1428571428571432,4.321428571428571,2.946428571428571,3.0714285714285716,0.0,1.5714285714285716,2.7500000000000004
SBV,6.089285714285715,15.446428571428566,1.5,1.5714285714285716,3.1428571428571432,0.0,4.321428571428571,9.357142857142856,13.732142857142854,10.732142857142858,0.0,2.946428571428571,5.696428571428571,1.5714285714285716,4.964285714285714
SPV,0.125,0.0,0.0,0.0,0.125,0.0,3.0714285714285716,1.3750000000000002,0.0,3.1428571428571432,1.3750000000000002,0.0,0.0,0.0,0.0
BPV,0.0,0.0,5.892857142857142,0.0,7.785714285714285,0.0,2.946428571428571,1.3750000000000002,7.464285714285715,0.0,2.7500000000000004,0.0,4.517857142857142,4.7142857142857135,1.5714285714285716
NBPV,0.125,2.946428571428571,0.0,0.0,2.946428571428571,4.7142857142857135,0.0,1.5714285714285716,0.0,4.517857142857142,0.0,0.0,0.125,3.1428571428571432,0.0
SBPV,2.946428571428571,0.0,0.0,2.946428571428571,1.5714285714285716,4.7142857142857135,1.5714285714285716,0.0,1.5714285714285716,4.517857142857143,0.0,6.089285714285715,3.2678571428571432,3.1428571428571432,3.0714285714285716
