,E,A,G,O,EA,EG,EO,AG,AO,GO,EAG,EAO,EGO,AGO,EAGO
V,12.892857142857142,25.321428571428573,9.821428571428573,26.25,15.125,5.500000000000001,5.500000000000001,46.01785714285714,19.375,32.39285714285714,9.75,12.69642857142857,7.19642857142857,13.142857142857139,14.196428571428571
NV,15.32142857142857,33.19642857142857,49.48214285714286,43.19642857142857,23.375,11.196428571428571,28.392857142857142,37.57142857142857,20.339285714285708,40.267857142857146,15.25,23.96428571428571,27.946428571428573,28.607142857142858,30.571428571428573
SV,5.696428571428571,26.64285714285714,39.517857142857146,32.53571428571428,11.446428571428571,12.5,16.82142857142857,38.16071428571428,32.39285714285714,25.71428571428571,20.625,6.875000000000001,19.642857142857146,30.892857142857146,15.32142857142857
BV,0.125,31.821428571428566,29.32142857142857,26.69642857142857,5.82142857142857,57.46428571428572,19.892857142857142,19.642857142857146,13.946428571428571,34.625,8.249999999999998,9.946428571428571,30.64285714285714,30.142857142857142,14.071428571428571
PV,4.124999999999999,5.500000000000001,11.000000000000002,6.999999999999999,12.375,13.874999999999998,9.946428571428571,12.375,10.017857142857142,9.875,18.321428571428573,11.392857142857142,7.19642857142857,5.82142857142857,11.517857142857144
NBV,8.571428571428571,28.33928571428571,35.410714285714285,39.464285714285715,17.339285714285715,30.96428571428571,16.94642857142857,31.285714285714285,33.64285714285714,37.10714285714286,23.625,26.64285714285714,16.89285714285714,46.66071428571428,11.64285714285714
NPV,1.3750000000000002,5.500000000000001,19.839285714285715,5.625,5.500000000000001,12.946428571428573,5.946428571428571,10.267857142857144,5.82142857142857,9.75,5.82142857142857,6.875000000000001,9.821428571428573,8.375,14.125000000000002
SBV,9.821428571428573,28.142857142857142,37.96428571428571,39.017857142857146,8.44642857142857,23.75,34.964285714285715,43.58928571428572,29.392857142857142,34.94642857142857,33.964285714285715,22.321428571428573,44.839285714285715,40.714285714285715,35.285714285714285
SPV,9.625,15.32142857142857,9.821428571428573,18.321428571428573,4.446428571428571,23.76785714285714,5.500000000000001,13.750000000000002,10.142857142857142,11.392857142857142,2.7500000000000004,9.875,16.75,10.017857142857142,4.517857142857142
BPV,8.375,1.3750000000000002,11.196428571428571,15.446428571428573,15.25,7.07142857142857,4.124999999999999,12.69642857142857,1.3750000000000002,8.571428571428571,10.071428571428571,5.696428571428571,11.517857142857144,9.625,16.696428571428573
NBPV,19.964285714285715,5.82142857142857,13.750000000000002,3.1964285714285707,2.875,2.875,4.124999999999999,5.82142857142857,7.249999999999999,4.124999999999999,11.125,5.75,19.57142857142857,9.625,5.75
SBPV,11.589285714285715,13.750000000000002,11.321428571428571,9.625,5.696428571428571,11.000000000000002,4.321428571428571,4.446428571428571,5.500000000000001,1.3750000000000002,8.249999999999998,10.142857142857142,7.07142857142857,7.07142857142857,4.375
