,E,A,G,O,EA,EG,EO,AG,AO,GO,EAG,EAO,EGO,AGO,EAGO
V,44.74999999999999,52.083333333333336,81.16666666666667,26.166666666666664,25.66666666666667,74.33333333333333,22.25,74.33333333333334,36.916666666666664,55.75,77.25,58.916666666666664,51.83333333333333,77.49999999999999,70.41666666666666
NV,26.166666666666664,36.916666666666664,63.083333333333336,73.83333333333334,37.416666666666664,55.749999999999986,48.166666666666664,67.0,73.58333333333333,74.08333333333333,66.25,52.083333333333336,59.41666666666667,55.750000000000014,73.83333333333334
SV,10.999999999999998,55.749999999999986,88.74999999999999,47.91666666666667,22.25,48.16666666666667,29.833333333333336,77.75000000000001,48.166666666666664,89.0,44.5,40.833333333333336,47.91666666666667,78.0,37.16666666666667
BV,36.916666666666664,51.33333333333334,74.33333333333334,44.49999999999999,51.583333333333336,84.83333333333333,37.16666666666667,63.08333333333332,37.16666666666667,52.33333333333332,81.41666666666666,18.583333333333332,55.49999999999999,73.33333333333334,63.083333333333336
PV,26.166666666666664,33.25,48.166666666666664,22.5,7.833333333333332,18.583333333333332,48.16666666666666,33.25,29.58333333333333,10.999999999999998,44.25,10.999999999999998,33.25,51.83333333333333,14.916666666666664
NBV,3.916666666666667,44.74999999999999,70.41666666666667,73.83333333333333,37.41666666666667,44.00000000000001,29.583333333333332,55.49999999999999,55.49999999999999,73.83333333333334,36.666666666666664,55.49999999999999,59.16666666666666,59.16666666666666,58.91666666666667
NPV,48.16666666666667,22.749999999999996,51.583333333333336,36.91666666666667,22.749999999999996,14.666666666666666,47.91666666666667,44.249999999999986,29.833333333333336,41.083333333333336,41.083333333333336,47.916666666666664,40.33333333333333,22.249999999999996,41.083333333333336
SBV,44.5,52.08333333333333,66.5,59.16666666666666,40.33333333333333,70.66666666666667,40.833333333333336,59.41666666666667,48.41666666666667,66.25,77.75000000000001,77.5,66.75,70.66666666666667,58.916666666666664
SPV,33.24999999999999,22.249999999999996,40.58333333333333,29.58333333333333,36.916666666666664,44.49999999999999,44.5,7.583333333333334,36.666666666666664,33.5,25.66666666666667,41.083333333333336,33.25,29.58333333333333,48.166666666666664
BPV,7.583333333333334,22.5,29.58333333333333,55.49999999999999,44.49999999999999,33.75,33.25,14.916666666666664,25.916666666666664,51.83333333333333,33.25,25.916666666666664,37.16666666666667,14.916666666666668,14.666666666666666
NBPV,10.999999999999998,32.99999999999999,44.25,37.41666666666667,33.75,22.25,33.25,44.00000000000001,33.75,19.08333333333333,15.166666666666668,21.999999999999996,36.66666666666667,40.833333333333336,44.25
SBPV,37.166666666666664,52.08333333333333,44.25,40.833333333333336,29.58333333333333,22.749999999999996,44.5,48.166666666666664,33.24999999999999,10.999999999999998,40.833333333333336,0.25,62.83333333333332,26.166666666666664,11.25
