,E,A,G,O,EA,EG,EO,AG,AO,GO,EAG,EAO,EGO,AGO,EAGO
V,55.75,58.25,58.75,49.74999999999999,25.5,47.5,11.25,42.25,36.0,49.74999999999999,67.0,36.25,36.5,63.74999999999999,50.0
NV,16.75,41.5,67.0,61.25000000000001,32.99999999999999,44.25,22.5,50.0,50.0,47.0,44.25,28.250000000000004,50.25000000000001,36.0,58.25
SV,27.749999999999996,38.75,72.24999999999999,41.75,36.5,8.249999999999998,19.5,71.75,25.0,52.5,22.5,16.499999999999996,30.75,47.0,44.74999999999999
BV,41.5,44.25,55.49999999999999,44.5,35.75000000000001,74.5,36.0,74.75,44.00000000000001,55.25,75.0,16.499999999999996,39.5,61.0,55.25
PV,13.750000000000002,34.0,13.750000000000002,25.0,19.25,8.5,0.0,27.749999999999996,33.75,27.749999999999996,2.7500000000000004,36.25,19.25,38.75,30.5
NBV,24.75,47.0,69.25,47.25,16.75,41.5,30.5,61.0,41.75,74.5,36.5,33.5,25.25,53.0,27.749999999999996
NPV,19.5,22.25,25.0,13.750000000000002,8.249999999999998,25.0,11.000000000000002,11.000000000000002,19.25,30.5,19.5,33.25,27.749999999999996,22.25,38.75
SBV,19.75,42.00000000000001,44.00000000000001,36.25,36.25,33.5,50.0,58.75,47.25,47.25,49.74999999999999,36.0,52.5,33.5,49.74999999999999
SPV,11.000000000000002,11.000000000000002,22.25,19.5,19.25,33.25,27.500000000000004,13.750000000000002,11.5,30.5,19.75,19.5,19.5,13.999999999999998,36.25
BPV,16.499999999999996,39.24999999999999,11.25,25.0,25.0,27.749999999999996,38.75,32.99999999999999,14.250000000000002,33.25,25.0,16.499999999999996,27.749999999999996,16.75,24.75
NBPV,19.5,2.7500000000000004,16.75,36.0,14.250000000000002,5.500000000000001,13.750000000000002,36.0,27.749999999999996,22.25,11.000000000000002,22.25,35.75000000000001,25.0,36.0
SBPV,38.5,16.75,25.25,19.25,19.25,13.750000000000002,25.0,27.500000000000004,19.25,16.75,25.0,36.25,22.000000000000004,27.500000000000004,11.000000000000002
