,E,A,G,O,EA,EG,EO,AG,AO,GO,EAG,EAO,EGO,AGO,EAGO
V,9.700000000000001,30.966666666666665,45.06666666666666,41.03333333333333,12.6,22.3,27.46666666666667,47.800000000000004,19.966666666666665,28.366666666666667,11.366666666666667,16.666666666666664,8.433333333333334,41.96666666666666,39.03333333333333
NV,13.566666666666666,35.199999999999996,32.43333333333333,36.63333333333333,24.000000000000004,20.86666666666667,39.03333333333333,46.56666666666666,38.833333333333336,42.46666666666666,26.73333333333333,27.46666666666667,28.733333333333334,42.46666666666667,29.46666666666667
SV,11.899999999999999,40.099999999999994,30.933333333333334,40.33333333333333,17.966666666666665,27.666666666666668,9.866666666666665,48.73333333333334,58.60000000000001,64.26666666666667,24.366666666666674,19.6,15.733333333333333,45.06666666666666,19.599999999999998
BV,12.1,25.466666666666672,19.433333333333334,33.7,8.766666666666667,26.366666666666667,23.799999999999997,36.96666666666666,25.66666666666667,25.266666666666666,44.86666666666667,25.66666666666667,37.9,50.4,19.6
PV,1.9999999999999998,3.833333333333333,20.333333333333332,3.833333333333333,16.499999999999996,13.733333333333334,11.899999999999999,19.03333333333333,3.833333333333333,31.700000000000006,13.566666666666666,15.933333333333334,25.466666666666672,14.099999999999996,14.266666666666666
NBV,12.8,37.733333333333334,60.09999999999999,59.70000000000001,30.433333333333334,19.966666666666665,10.066666666666665,53.300000000000004,44.333333333333336,48.166666666666664,19.433333333333334,17.766666666666666,13.899999999999999,58.83333333333333,13.199999999999998
NPV,14.833333333333334,15.766666666666667,13.933333333333334,27.866666666666667,27.666666666666668,20.333333333333332,17.366666666666667,9.533333333333333,17.599999999999998,11.366666666666667,6.033333333333333,14.099999999999998,30.599999999999998,27.866666666666667,26.93333333333333
SBV,28.400000000000002,31.700000000000006,49.1,43.96666666666667,17.4,34.43333333333333,30.566666666666663,50.0,54.03333333333333,49.8,26.73333333333333,25.1,31.333333333333336,43.76666666666667,25.966666666666665
SPV,1.9999999999999998,6.033333333333333,22.366666666666664,21.633333333333336,22.166666666666668,2.1999999999999997,16.5,27.833333333333332,16.499999999999996,9.533333333333333,15.566666666666668,24.0,16.133333333333336,15.2,1.9999999999999998
BPV,10.26666666666667,11.899999999999999,14.633333333333335,10.066666666666665,12.8,5.666666666666666,11.533333333333333,16.833333333333332,11.733333333333333,12.233333333333334,26.56666666666666,4.033333333333334,15.566666666666665,23.599999999999998,8.433333333333334
NBPV,5.666666666666666,24.16666666666667,18.5,2.1999999999999997,21.433333333333334,9.866666666666665,14.100000000000001,18.133333333333333,17.599999999999998,21.6,15.933333333333334,12.1,6.233333333333333,7.7,14.466666666666667
SBPV,12.266666666666666,6.4,24.200000000000006,19.8,20.333333333333332,12.066666666666666,10.433333333333332,15.566666666666665,8.433333333333334,22.000000000000004,18.133333333333333,17.766666666666666,20.333333333333332,19.966666666666665,11.899999999999999
