,E,A,G,O,EA,EG,EO,AG,AO,GO,EAG,EAO,EGO,AGO,EAGO
V,0.0,2.7500000000000004,7.9,7.7,5.15,0.0,0.0,0.0,0.0,0.2,2.7500000000000004,0.0,0.0,0.0,0.0
NV,5.500000000000001,7.350000000000001,4.4,5.15,0.0,4.95,0.0,2.7500000000000004,7.15,12.3,0.0,0.0,0.0,5.500000000000001,0.0
SV,0.0,0.0,0.0,2.7500000000000004,2.4,4.95,0.2,0.0,4.95,9.9,2.7500000000000004,0.2,0.0,0.0,0.0
BV,0.0,4.95,0.0,0.0,7.7,2.1999999999999997,0.0,5.500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV,0.0,0.0,0.0,0.0,0.0,2.7500000000000004,0.0,2.1999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBV,0.0,7.7,0.0,7.15,0.0,0.0,2.1999999999999997,0.0,15.049999999999999,4.95,7.7,0.0,5.500000000000001,14.850000000000001,0.0
NPV,2.7500000000000004,0.0,0.0,0.0,5.500000000000001,2.7500000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7500000000000004,0.0
SBV,2.1999999999999997,4.95,2.4,2.7500000000000004,2.7500000000000004,0.0,0.0,2.7500000000000004,5.699999999999999,2.1999999999999997,0.0,2.7500000000000004,2.7500000000000004,13.200000000000001,0.0
SPV,2.4,0.0,7.9,4.95,0.0,4.95,0.0,0.0,0.0,0.0,4.95,0.0,0.0,2.1999999999999997,0.0
BPV,2.1999999999999997,0.0,0.0,4.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1999999999999997
NBPV,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,2.7500000000000004,0.0,0.0,0.0,0.0,0.0,0.0
SBPV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
