,E,A,G,O,EA,EG,EO,AG,AO,GO,EAG,EAO,EGO,AGO,EAGO
V,2.6858974358974357,8.75,13.192307692307695,14.250000000000002,2.6858974358974357,14.320512820512823,1.7628205128205128,12.487179487179489,3.4615384615384617,8.897435897435898,7.128205128205129,0.0,2.833333333333333,6.282051282051284,5.371794871794871
NV,8.673076923076922,9.73076923076923,14.250000000000002,18.55128205128205,9.730769230769228,2.5384615384615383,7.198717948717949,12.346153846153847,15.807692307692307,18.493589743589737,6.141025641025641,9.666666666666666,8.602564102564102,14.0448717948718,11.717948717948719
SV,2.7500000000000004,9.89102564102564,4.371794871794871,13.198717948717947,0.0,0.9166666666666666,0.0,6.987179487179487,19.621794871794872,13.205128205128206,3.5256410256410255,1.7628205128205128,1.6923076923076923,16.19230769230769,0.07692307692307693
BV,1.8397435897435896,5.358974358974359,16.78205128205128,8.820512820512821,4.442307692307692,5.365384615384615,5.288461538461538,14.185897435897434,3.5961538461538463,6.352564102564102,12.423076923076925,6.217948717948718,15.025641025641026,6.282051282051284,5.217948717948719
PV,3.5256410256410255,1.7628205128205128,3.5320512820512824,3.6025641025641026,1.6923076923076923,5.519230769230769,2.5384615384615383,4.442307692307692,4.371794871794871,0.9166666666666666,1.7692307692307694,4.442307692307692,0.0,1.6923076923076923,1.8333333333333333
NBV,3.5320512820512824,16.724358974358974,11.429487179487179,19.53846153846154,8.602564102564102,6.980769230769232,7.134615384615387,7.974358974358974,11.641025641025642,11.5,1.6923076923076923,6.217948717948718,1.7628205128205128,14.884615384615385,6.987179487179487
NPV,2.8269230769230766,0.0,0.0,4.301282051282051,4.442307692307692,1.9102564102564101,0.0,1.6923076923076923,3.5961538461538454,1.7692307692307694,0.8461538461538461,1.6923076923076923,3.4551282051282053,0.0,1.8333333333333333
SBV,0.8461538461538461,9.589743589743591,13.26923076923077,16.794871794871796,3.5961538461538463,5.4423076923076925,8.814102564102564,10.794871794871794,12.493589743589743,9.673076923076923,2.6153846153846154,3.6025641025641026,13.198717948717947,14.666666666666666,9.666666666666666
SPV,5.365384615384615,8.051282051282053,1.7628205128205128,0.8461538461538461,0.8461538461538461,0.0,0.0,3.5256410256410255,0.9166666666666666,3.4615384615384617,0.8461538461538461,0.8461538461538461,0.9166666666666666,4.660256410256411,1.7628205128205128
BPV,1.7628205128205128,1.7628205128205128,3.6025641025641026,1.7628205128205128,0.9166666666666666,0.0,0.07692307692307693,2.6089743589743586,0.0,1.7692307692307694,0.0,0.8461538461538461,0.8461538461538461,0.0,2.6089743589743595
NBPV,3.4615384615384617,2.6089743589743586,1.7628205128205128,0.8461538461538461,0.0,3.5384615384615388,3.4551282051282053,4.378205128205128,1.8333333333333333,1.8333333333333333,5.365384615384615,0.9166666666666666,1.7628205128205128,1.0,0.9166666666666666
SBPV,0.9230769230769231,1.7628205128205128,5.288461538461538,2.5384615384615383,4.442307692307692,1.7628205128205128,2.7500000000000004,1.9102564102564101,1.7628205128205128,3.5256410256410255,2.6089743589743595,1.7628205128205128,0.0,0.0,0.9166666666666666
