,E,A,G,O,EA,EG,EO,AG,AO,GO,EAG,EAO,EGO,AGO,EAGO
V,7.15,37.6,49.39999999999999,47.35,13.600000000000003,11.400000000000002,31.35,50.449999999999996,18.150000000000002,32.5,51.75000000000001,18.35,31.75,25.5,18.150000000000002
NV,30.100000000000005,33.75,58.550000000000004,46.400000000000006,15.950000000000003,33.95,47.300000000000004,48.80000000000001,30.5,27.700000000000003,23.5,32.1,39.800000000000004,41.8,33.2
SV,19.1,42.400000000000006,39.85,53.400000000000006,8.8,17.6,16.35,59.099999999999994,48.05,52.849999999999994,15.8,33.550000000000004,33.4,51.0,22.549999999999997
BV,11.200000000000001,36.150000000000006,47.15,34.85,29.700000000000003,6.6000000000000005,30.650000000000006,40.55,20.549999999999997,29.15,53.400000000000006,24.05,38.150000000000006,4.3999999999999995,16.7
PV,20.55,2.8000000000000003,53.75,18.15,20.9,7.15,20.35,68.95,33.8,64.55,44.95,29.549999999999997,28.250000000000004,26.950000000000003,48.80000000000001
NBV,17.8,53.55,54.85,42.95,16.7,18.9,21.3,29.349999999999998,50.449999999999996,49.00000000000001,19.25,34.300000000000004,32.300000000000004,40.199999999999996,27.900000000000002
NPV,21.1,21.1,16.150000000000002,12.1,26.950000000000003,35.6,24.95,11.200000000000001,22.950000000000003,13.4,36.50000000000001,23.849999999999998,24.6,23.700000000000003,26.25
SBV,11.000000000000002,26.450000000000006,51.150000000000006,47.699999999999996,34.5,44.95,46.050000000000004,44.74999999999999,34.300000000000004,50.25000000000001,23.650000000000002,44.400000000000006,55.60000000000001,49.7,31.0
SPV,12.3,25.7,9.55,13.950000000000001,25.7,18.000000000000004,7.7,18.35,16.150000000000002,9.55,19.45,32.1,8.8,30.45,28.250000000000004
BPV,23.3,7.15,9.55,23.85,9.35,44.25,28.999999999999996,44.05,16.7,21.1,75.55000000000001,14.3,49.7,62.4,55.75
NBPV,20.0,9.75,13.599999999999998,25.5,15.950000000000003,6.6000000000000005,11.000000000000002,26.450000000000003,13.750000000000002,15.950000000000003,27.55,18.55,11.200000000000001,25.5,28.450000000000003
SBPV,19.1,6.800000000000001,4.6,36.7,29.349999999999998,25.5,20.35,19.45,18.75,4.6,10.3,14.500000000000002,13.750000000000002,12.3,17.450000000000003
