,E,A,G,O,EA,EG,EO,AG,AO,GO,EAG,EAO,EGO,AGO,EAGO
V,2.1999999999999997,2.1999999999999997,0.0,4.566666666666666,0.0,1.8333333333333333,2.1999999999999997,0.0,4.566666666666666,4.199999999999999,2.366666666666667,4.4,6.233333333333333,2.366666666666667,0.0
NV,0.0,4.566666666666666,0.0,0.0,2.1999999999999997,0.0,6.233333333333333,10.633333333333335,8.600000000000001,0.0,2.1999999999999997,4.033333333333334,6.233333333333333,0.0,8.433333333333334
SV,0.0,0.0,0.0,1.8333333333333333,0.0,0.16666666666666666,0.0,8.600000000000001,0.0,6.033333333333333,2.1999999999999997,2.1999999999999997,2.366666666666667,8.433333333333334,2.1999999999999997
BV,0.0,4.4,2.1999999999999997,6.6000000000000005,0.0,0.0,0.0,0.0,8.433333333333334,0.0,10.8,4.033333333333333,4.199999999999999,0.0,0.0
PV,2.366666666666667,0.16666666666666666,4.033333333333333,0.0,4.3999999999999995,0.0,2.366666666666667,2.1999999999999997,1.8333333333333333,0.0,0.0,2.1999999999999997,11.000000000000002,0.0,0.0
NBV,0.0,13.366666666666669,0.0,4.033333333333333,4.033333333333333,1.8333333333333333,0.0,4.033333333333333,2.1999999999999997,0.0,0.0,8.799999999999999,6.233333333333333,0.0,6.6000000000000005
NPV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,6.766666666666668,0.0,6.233333333333333,0.0,0.0,0.0,0.0
SBV,0.0,4.3999999999999995,0.0,0.0,10.633333333333335,0.0,0.0,0.0,2.1999999999999997,6.6000000000000005,5.866666666666666,0.0,3.6666666666666665,6.233333333333333,0.3333333333333333
SPV,0.0,4.033333333333334,1.8333333333333333,0.0,2.1999999999999997,0.0,1.9999999999999998,0.0,3.6666666666666665,4.3999999999999995,2.1999999999999997,0.0,0.0,0.0,0.0
BPV,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.033333333333333,6.4,0.0,0.0,2.1999999999999997,2.1999999999999997,0.0
NBPV,2.1999999999999997,0.0,10.633333333333335,0.0,1.8333333333333333,2.1999999999999997,0.0,0.0,0.0,0.0,4.033333333333333,0.0,3.6666666666666665,0.0,0.0
SBPV,0.0,4.4,0.0,2.1999999999999997,2.1999999999999997,0.0,0.0,8.433333333333334,0.0,0.0,2.1999999999999997,0.0,2.1999999999999997,0.0,0.0
