,E,A,G,O,EA,EG,EO,AG,AO,GO,EAG,EAO,EGO,AGO,EAGO
V,3.6666666666666665,1.8333333333333333,1.5714285714285716,16.238095238095237,0.0,1.8333333333333333,3.6666666666666665,0.0,0.0,10.476190476190476,7.07142857142857,7.07142857142857,1.8333333333333333,5.499999999999999,0.0
NV,1.9761904761904763,8.642857142857142,1.8333333333333333,3.1428571428571432,5.3809523809523805,0.0,0.0,4.7142857142857135,3.404761904761905,5.238095238095237,8.904761904761905,3.404761904761905,5.785714285714285,6.809523809523808,5.642857142857142
SV,0.0,5.238095238095237,1.8333333333333333,10.761904761904761,1.5714285714285716,1.8333333333333333,1.5714285714285716,5.238095238095237,0.0,5.500000000000001,7.214285714285714,0.0,3.6666666666666665,7.476190476190475,3.6666666666666665
BV,1.8333333333333333,8.904761904761905,5.238095238095237,0.0,8.904761904761903,3.404761904761905,0.0,1.8333333333333333,3.6666666666666665,3.6666666666666665,0.0,0.0,7.214285714285714,1.8333333333333333,0.0
PV,0.0,0.0,1.8333333333333333,0.0,0.0,1.8333333333333333,7.214285714285714,3.6666666666666665,0.0,0.0,0.0,1.8333333333333333,0.0,0.0,1.8333333333333333
NBV,0.0,3.6666666666666665,1.8333333333333333,13.88095238095238,0.0,1.8333333333333333,0.0,0.0,1.8333333333333333,9.309523809523808,0.0,1.8333333333333333,1.8333333333333333,9.309523809523808,3.6666666666666665
NPV,7.214285714285714,0.0,3.6666666666666665,0.0,1.8333333333333333,0.0,7.214285714285714,0.0,3.6666666666666665,0.0,0.0,0.0,0.0,3.1428571428571432,5.238095238095237
SBV,0.0,3.6666666666666665,8.904761904761905,11.000000000000002,1.5714285714285716,3.404761904761905,4.976190476190476,0.0,3.8095238095238093,5.523809523809524,1.8333333333333333,0.0,5.3809523809523805,3.6904761904761907,8.380952380952381
SPV,0.0,0.0,0.0,0.14285714285714285,1.5714285714285716,0.0,1.8333333333333333,0.0,0.0,5.500000000000001,0.14285714285714285,0.0,0.0,0.0,0.0
BPV,0.0,0.0,1.8333333333333333,1.8333333333333333,1.8333333333333333,5.499999999999999,3.404761904761905,1.9761904761904763,1.8333333333333333,1.9761904761904763,1.7142857142857144,0.0,1.5714285714285716,0.0,3.5476190476190474
NBPV,0.0,0.0,1.8333333333333333,0.0,0.0,0.0,3.404761904761905,5.238095238095237,3.8095238095238093,5.499999999999999,1.5714285714285716,5.238095238095237,0.0,0.0,1.8333333333333333
SBPV,0.0,0.0,0.0,1.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,0.0,1.8333333333333333,5.238095238095237,0.0
