,E,A,G,O,EA,EG,EO,AG,AO,GO,EAG,EAO,EGO,AGO,EAGO
V,2.9166666666666665,21.16666666666667,9.333333333333336,31.166666666666664,5.833333333333333,7.833333333333334,6.833333333333333,8.75,8.666666666666666,22.000000000000004,6.666666666666667,9.833333333333334,13.666666666666666,11.333333333333332,1.9166666666666665
NV,1.0,24.833333333333336,27.916666666666668,30.666666666666664,18.25,4.0,19.0,18.333333333333332,23.833333333333336,26.916666666666668,16.166666666666664,20.166666666666664,22.08333333333333,26.5,18.249999999999996
SV,1.0833333333333335,21.333333333333332,42.333333333333336,28.249999999999996,9.666666666666668,1.0,8.583333333333334,29.916666666666664,39.75,13.5,6.583333333333333,12.333333333333332,18.249999999999996,38.333333333333336,9.416666666666666
BV,2.9166666666666665,18.333333333333336,32.58333333333333,13.499999999999998,3.0,9.0,3.25,24.166666666666664,6.999999999999999,16.416666666666664,7.749999999999998,8.5,9.583333333333334,26.16666666666666,21.166666666666668
PV,4.833333333333332,7.916666666666665,5.666666666666666,4.833333333333333,6.75,5.916666666666668,7.833333333333334,3.833333333333333,2.9166666666666665,11.5,9.416666666666668,5.916666666666667,7.416666666666666,5.833333333333333,10.75
NBV,6.75,17.333333333333336,25.916666666666664,27.833333333333332,15.916666666666664,4.833333333333334,9.833333333333334,25.833333333333336,26.0,27.83333333333334,5.833333333333333,9.583333333333332,5.75,26.083333333333332,13.583333333333334
NPV,5.0,0.9166666666666666,3.0,3.75,4.916666666666667,7.750000000000002,3.75,7.583333333333334,5.75,0.08333333333333333,10.500000000000002,1.9166666666666665,7.750000000000002,5.583333333333333,4.833333333333332
SBV,11.75,12.58333333333333,28.083333333333332,21.999999999999996,12.666666666666664,16.249999999999996,23.083333333333336,31.0,23.999999999999993,35.583333333333336,30.08333333333334,24.999999999999993,22.000000000000004,30.83333333333333,11.416666666666666
SPV,1.9166666666666665,3.833333333333333,6.583333333333333,7.416666666666666,7.666666666666668,1.916666666666667,2.833333333333333,6.666666666666667,3.75,4.75,3.916666666666667,11.500000000000002,5.666666666666666,7.833333333333334,6.666666666666667
BPV,2.0,1.9166666666666665,4.0,2.0,3.75,1.9166666666666665,1.916666666666667,0.0,0.0,1.8333333333333333,6.0,10.666666666666666,8.666666666666666,8.5,8.333333333333334
NBPV,8.583333333333334,10.500000000000002,9.583333333333332,2.9166666666666665,0.9166666666666666,2.9166666666666665,1.9166666666666665,1.0,8.666666666666668,0.9999999999999999,3.75,8.666666666666666,5.916666666666667,5.833333333333333,7.750000000000002
SBPV,0.9999999999999999,5.916666666666667,15.5,8.583333333333334,3.916666666666667,1.9166666666666665,3.833333333333333,6.666666666666668,5.666666666666666,7.833333333333332,8.833333333333334,3.833333333333333,2.0833333333333335,6.833333333333333,7.583333333333334
