,E,A,G,O,EA,EG,EO,AG,AO,GO,EAG,EAO,EGO,AGO,EAGO
V,0.09090909090909091,6.39090909090909,0.0,10.4,1.0999999999999999,7.4818181818181815,1.0,0.0,2.2,3.090909090909091,0.0,0.0,0.0,5.300000000000001,7.290909090909089
NV,3.1000000000000005,4.281818181818182,7.3,27.07272727272727,5.581818181818182,2.1,3.2,12.672727272727274,12.790909090909091,14.500000000000002,7.590909090909091,10.500000000000002,8.681818181818182,7.69090909090909,3.2
SV,0.0,15.990909090909089,13.690909090909093,10.700000000000001,0.0,1.0999999999999999,3.2,11.481818181818182,9.581818181818182,6.4818181818181815,1.0999999999999999,5.2,4.2,15.090909090909092,4.2
BV,4.300000000000001,7.390909090909092,0.0,6.59090909090909,0.0,11.981818181818182,0.0,4.1000000000000005,3.2,3.0,14.490909090909094,1.0999999999999999,2.1,6.4,1.0
PV,2.1,4.3999999999999995,0.0,2.0,4.1000000000000005,0.09090909090909091,1.0,1.0999999999999999,1.0999999999999999,2.1909090909090914,3.3000000000000007,2.1,2.1909090909090914,1.190909090909091,4.199999999999999
NBV,0.0,9.290909090909091,8.381818181818183,17.990909090909092,2.2,2.1,0.0,11.890909090909092,10.49090909090909,10.590909090909092,5.290909090909091,6.381818181818182,4.300000000000001,4.3909090909090915,6.4
NPV,3.2,0.0,7.3999999999999995,1.090909090909091,2.1,2.290909090909091,0.0,0.0,2.290909090909091,0.0,3.3000000000000003,3.2,0.0,2.2,0.0
SBV,1.190909090909091,7.590909090909091,9.4,9.781818181818183,8.49090909090909,3.190909090909091,6.5,7.199999999999999,6.3,10.49090909090909,3.2,3.2,5.300000000000001,10.89090909090909,4.3909090909090915
SPV,4.300000000000001,3.290909090909091,0.0,4.1000000000000005,0.0,7.5,0.0,2.1,0.0,4.2,0.0,1.0999999999999999,1.0,1.0999999999999999,4.4818181818181815
BPV,0.0,1.0,4.300000000000001,7.5,1.190909090909091,2.290909090909091,0.0,3.1000000000000005,3.2,1.0999999999999999,0.0,4.199999999999999,6.4,2.0,1.0
NBPV,7.390909090909091,2.1,1.0999999999999999,1.0,2.290909090909091,1.190909090909091,1.0,0.0,1.0,2.1,3.2,3.2,2.0,2.1,0.0
SBPV,0.0,0.0,1.0999999999999999,0.0,0.0,0.0,2.0,3.290909090909091,2.0909090909090913,1.190909090909091,4.290909090909091,0.0,4.199999999999999,1.0,2.1
