,E,A,G,O,EA,EG,EO,AG,AO,GO,EAG,EAO,EGO,AGO,EAGO
V,0.0,0.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NV,0.0,0.0,3.916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.083333333333332,0.0,0.0,3.6666666666666665,0.0
SV,0.0,2.7500000000000004,0.0,0.0,0.0,0.25,7.333333333333333,10.083333333333332,0.0,0.0,10.083333333333332,0.0,11.000000000000002,7.333333333333333,0.0
BV,0.0,0.0,0.25,0.0,0.0,3.6666666666666665,3.6666666666666665,0.0,0.0,3.6666666666666665,0.0,0.0,0.0,0.0,2.7500000000000004
PV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,0.0,0.0,2.7500000000000004,0.0,0.0,0.0
NBV,0.0,6.416666666666666,0.0,0.25,0.0,0.0,0.0,6.416666666666666,0.0,0.25,0.0,0.0,0.0,0.0,0.0
NPV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBV,0.0,0.0,0.0,3.0,3.6666666666666665,0.0,0.0,3.916666666666667,0.0,3.916666666666667,3.6666666666666665,7.333333333333333,0.0,0.0,0.0
SPV,0.0,3.6666666666666665,0.0,10.083333333333332,0.0,0.5,3.6666666666666665,0.0,2.7500000000000004,0.0,0.0,0.0,0.0,0.0,0.0
BPV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.416666666666666,0.0,0.0,2.7500000000000004
NBPV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665
SBPV,0.25,3.6666666666666665,0.0,0.0,0.0,3.6666666666666665,0.0,3.6666666666666665,0.0,0.0,3.6666666666666665,3.6666666666666665,0.0,0.0,0.0
