,E,A,G,O,EA,EG,EO,AG,AO,GO,EAG,EAO,EGO,AGO,EAGO
V,8.188888888888888,25.355555555555554,35.077777777777776,28.28888888888889,5.988888888888888,39.36666666666667,18.922222222222224,35.86666666666667,14.233333333333334,29.188888888888894,39.166666666666664,9.511111111111111,3.6666666666666665,18.122222222222224,6.188888888888888
NV,8.18888888888889,34.766666666666666,23.56666666666667,24.42222222222222,17.555555555555554,10.633333333333335,14.011111111111113,32.15555555555555,28.97777777777778,29.188888888888894,16.799999999999997,29.43333333333334,30.533333333333335,33.72222222222222,25.86666666666667
SV,4.866666666666666,30.000000000000004,38.14444444444444,24.98888888888889,7.188888888888889,13.3,5.988888888888888,47.699999999999996,23.01111111111111,29.43333333333334,11.833333333333332,9.511111111111111,14.255555555555558,35.5,22.444444444444443
BV,10.933333333333332,37.67777777777778,2.322222222222222,23.688888888888886,4.866666666666666,4.866666666666666,10.711111111111112,5.966666666666667,7.211111111111111,7.088888888888889,31.95555555555556,8.61111111111111,8.433333333333334,25.188888888888894,17.9
PV,3.5444444444444443,13.155555555555557,3.644444444444445,7.28888888888889,5.500000000000001,4.766666666666667,2.5444444444444443,8.38888888888889,3.4222222222222225,10.633333333333335,10.755555555555556,17.066666666666666,10.855555555555556,9.633333333333333,11.466666666666665
NBV,6.088888888888889,28.455555555555556,33.46666666666667,30.266666666666666,15.011111111111115,3.7666666666666666,23.56666666666667,41.58888888888888,23.744444444444444,41.81111111111111,19.77777777777778,16.477777777777778,14.700000000000003,24.644444444444446,27.21111111111111
NPV,9.611111111111112,2.5444444444444443,4.644444444444444,5.988888888888888,9.41111111111111,4.644444444444444,8.588888888888887,4.988888888888889,2.444444444444444,8.533333333333333,10.855555555555556,4.866666666666666,3.5444444444444443,1.222222222222222,3.4222222222222225
SBV,2.5444444444444443,25.311111111111117,34.47777777777778,21.644444444444446,16.6,28.411111111111108,11.711111111111112,20.122222222222224,36.62222222222223,34.54444444444444,23.72222222222222,22.444444444444443,33.177777777777784,24.211111111111112,32.56666666666666
SPV,9.633333333333335,2.444444444444444,7.28888888888889,4.866666666666666,0.0,7.2111111111111095,10.733333333333333,6.088888888888889,3.644444444444444,4.644444444444444,11.955555555555556,2.322222222222222,9.533333333333333,7.044444444444445,1.222222222222222
BPV,4.766666666666667,5.966666666666667,6.288888888888888,3.5222222222222226,5.844444444444445,16.37777777777778,2.322222222222222,14.177777777777777,7.066666666666667,4.766666666666667,6.966666666666669,5.866666666666666,4.7444444444444445,11.611111111111112,10.833333333333336
NBPV,9.533333333333333,8.411111111111111,5.844444444444444,10.977777777777778,9.61111111111111,9.533333333333333,9.533333333333333,7.0666666666666655,5.988888888888888,4.7444444444444445,9.411111111111111,7.044444444444445,6.966666666666667,15.277777777777782,9.655555555555555
SBPV,10.855555555555556,8.48888888888889,2.422222222222222,3.5444444444444443,3.5444444444444443,13.27777777777778,9.633333333333333,4.766666666666667,10.711111111111112,9.511111111111111,4.966666666666667,4.644444444444444,4.7444444444444445,4.522222222222223,3.644444444444445
