,E,A,G,O,EA,EG,EO,AG,AO,GO,EAG,EAO,EGO,AGO,EAGO
V,5.545833333333333,16.825,17.508333333333333,14.791666666666664,5.699999999999999,2.7500000000000004,4.279166666666666,15.433333333333332,6.3583333333333325,0.0625,13.966666666666667,2.0624999999999996,5.029166666666667,8.45,4.1875
NV,1.4208333333333334,15.712500000000002,19.541666666666664,13.279166666666667,3.4375000000000004,6.875000000000001,10.8375,9.7625,20.416666666666668,15.587499999999999,4.170833333333333,15.508333333333333,8.745833333333334,18.183333333333334,13.200000000000001
SV,4.8125,7.075000000000001,6.3583333333333325,16.291666666666664,2.1083333333333334,1.4375,4.279166666666666,10.024999999999999,18.445833333333333,12.779166666666667,4.920833333333333,5.762499999999999,1.4208333333333334,14.962499999999999,2.8583333333333334
BV,1.3750000000000002,14.745833333333334,13.479166666666668,9.870833333333334,2.0624999999999996,19.054166666666667,0.6875000000000001,19.65,2.0624999999999996,17.866666666666667,15.354166666666666,1.3750000000000002,4.920833333333333,10.5125,6.3125
PV,2.216666666666667,1.3750000000000002,7.075000000000001,4.8125,1.3750000000000002,10.604166666666666,1.3750000000000002,8.295833333333333,0.6875000000000001,3.545833333333333,8.495833333333334,1.4666666666666666,8.375,5.137499999999999,4.95
NBV,2.125,6.920833333333334,7.045833333333333,20.370833333333334,4.279166666666666,4.170833333333333,3.4833333333333334,17.7125,16.8875,16.3375,3.591666666666667,2.7958333333333334,2.125,14.791666666666664,2.0624999999999996
NPV,2.125,5.591666666666667,0.6875000000000001,2.7500000000000004,2.904166666666667,6.341666666666666,0.0,0.0,2.170833333333334,2.875,3.545833333333333,3.4833333333333334,0.7333333333333333,0.6875000000000001,1.3750000000000002
SBV,2.1999999999999997,7.716666666666666,10.745833333333332,21.66666666666667,3.4833333333333334,4.966666666666667,9.870833333333334,11.404166666666667,15.370833333333334,9.904166666666667,6.25,12.6375,8.529166666666667,17.666666666666668,5.608333333333333
SPV,3.545833333333333,0.0,1.3750000000000002,1.3750000000000002,1.3750000000000002,2.8125,0.0,5.608333333333333,0.0,1.4666666666666666,2.7500000000000004,0.0,4.124999999999999,4.279166666666666,1.4208333333333334
BPV,1.3750000000000002,2.7958333333333334,8.358333333333333,2.1083333333333334,0.6875000000000001,2.1875,1.4833333333333332,2.8583333333333334,2.8416666666666663,0.0625,3.4375000000000004,0.0,6.25,7.762499999999998,6.325
NBPV,0.0,0.6875000000000001,4.858333333333333,6.279166666666666,2.0624999999999996,4.233333333333333,0.6875000000000001,0.6875000000000001,2.0624999999999996,3.4375000000000004,1.3750000000000002,0.0625,4.858333333333333,0.0,2.0624999999999996
SBPV,2.8583333333333334,2.216666666666667,0.0,0.0,0.0,2.7958333333333334,0.6875000000000001,2.7500000000000004,3.4375000000000004,1.3750000000000002,0.6875000000000001,0.7333333333333333,1.3750000000000002,5.029166666666667,0.0
